3,502,298,201
4,498,295,199
5,499,294,200
6,494,291,197
7,494,290,197
8,494,289,197
9,487,284,194
10,492,286,196
11,488,283,194
12,492,284,196
13,487,280,194
14,466,269,183
15,471,269,187
16,482,274,192
17,472,267,188
18,471,267,186
19,477,269,189
20,461,258,183
21,456,255,180
22,460,255,182
23,454,251,179
24,452,249,178
25,447,245,177
26,443,242,175
27,438,237,173
28,444,238,177
29,440,235,174
30,438,235,172
31,423,225,166
32,440,233,174
33,429,227,167
34,440,230,174
35,433,224,170
36,434,223,171
37,423,218,167
38,416,213,162
39,406,205,157
40,409,204,154
41,408,201,164
42,425,211,167
43,398,194,155
44,398,195,155
45,411,202,158
46,378,179,143
47,383,180,145
48,384,181,141
49,388,185,145
50,374,174,139
51,373,170,136
52,380,174,138
53,367,163,136
54,375,171,137
55,375,168,137
56,369,161,132
57,359,156,128
58,363,153,132
59,335,138,116
60,351,147,128
61,350,144,121
62,343,137,116
63,342,131,117
64,327,128,107
65,322,121,102
66,309,113,99
67,333,127,107
68,327,120,106
69,307,108,93
70,296,102,89
71,300,101,85
72,323,115,103
73,300,98,87
74,314,105,95
75,287,85,80
76,280,83,73
77,285,87,79
78,270,73,66
79,265,69,66
80,276,72,68
81,259,63,59
82,265,64,61
83,280,73,66
84,262,60,56
85,253,55,52
86,260,56,52
87,255,52,50
88,253,48,46
89,245,43,42
90,233,34,32
91,231,32,30
92,240,35,34
93,231,28,27
94,220,21,21
95,221,19,19
96,221,19,19
97,216,13,13
98,210,9,9
99,206,5,5
100,200,0,0
