3,2775,1870,1870
4,2354,1537,1537
5,2172,1409,1409
6,2040,1307,1307
7,1943,1233,1233
8,1830,1149,1149
9,1816,1137,1137
10,1731,1076,1076
11,1662,1027,1027
12,1648,1018,1018
13,1509,926,926
14,1532,934,934
15,1456,889,889
16,1461,886,886
17,1427,864,864
18,1401,841,841
19,1348,810,810
20,1331,793,793
21,1316,787,787
22,1313,776,776
23,1271,750,750
24,1263,742,742
25,1206,705,705
26,1234,720,720
27,1182,685,685
28,1206,697,697
29,1159,667,667
30,1149,666,666
31,1129,646,646
32,1109,638,638
33,1134,649,649
34,1101,628,628
35,1078,607,607
36,1052,588,588
37,1060,598,598
38,1055,586,586
39,1016,562,562
40,1003,553,553
41,958,523,523
42,1000,547,547
43,943,509,509
44,939,508,508
45,914,494,494
46,915,486,486
47,907,486,486
48,929,496,496
49,880,464,464
50,875,463,463
51,826,429,429
52,860,450,450
53,813,421,421
54,839,433,433
55,830,426,426
56,824,416,416
57,807,405,405
58,776,384,384
59,767,380,380
60,717,353,353
61,737,361,361
62,735,361,361
63,737,354,354
64,684,328,328
65,688,326,326
66,684,323,323
67,701,326,326
68,649,298,298
69,642,293,293
70,607,272,272
71,636,284,284
72,585,254,254
73,556,242,242
74,562,240,240
75,543,229,229
76,541,227,227
77,524,215,215
78,520,211,211
79,507,204,204
80,470,181,181
81,485,183,183
82,465,172,172
83,423,149,149
84,436,153,153
85,402,134,134
86,425,142,142
87,391,122,122
88,370,110,110
89,358,101,101
90,364,102,102
91,336,87,87
92,316,74,74
93,319,74,74
94,277,50,50
95,264,42,42
96,276,46,46
97,254,33,33
98,235,21,21
99,213,8,8
100,200,0,0
